"REF_DATE","GEO","DGUID","Family type","Age of older adult","Family income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Couple families","Total all ages","All income groups","Number","223","units","0","v21246881","1.1.1.1","8695360","","","","0"
"2019","Canada","2016A000011124","Couple families","Total all ages","All income groups","Number","223","units","0","v21246881","1.1.1.1","8798970","","","","0"
"2020","Canada","2016A000011124","Couple families","Total all ages","All income groups","Number","223","units","0","v21246881","1.1.1.1","8858700","","","","0"
"2018","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","96080","","","","0"
"2019","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","98690","","","","0"
"2020","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","104350","","","","0"
"2018","Canada","2016A000011124","Couple families","25 to 34 years","All income groups","Number","223","units","0","v21246918","1.1.3.1","1119660","","","","0"
"2019","Canada","2016A000011124","Couple families","25 to 34 years","All income groups","Number","223","units","0","v21246918","1.1.3.1","1146160","","","","0"
"2020","Canada","2016A000011124","Couple families","25 to 34 years","All income groups","Number","223","units","0","v21246918","1.1.3.1","1135520","","","","0"
"2018","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","85740","","","","0"
"2019","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","87380","","","","0"
"2020","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","93380","","","","0"
"2018","Canada","2016A000011124","Couple families","45 to 54 years","All income groups","Number","223","units","0","v21253325","1.1.5.1","1672290","","","","0"
"2019","Canada","2016A000011124","Couple families","45 to 54 years","All income groups","Number","223","units","0","v21253325","1.1.5.1","1650900","","","","0"
"2020","Canada","2016A000011124","Couple families","45 to 54 years","All income groups","Number","223","units","0","v21253325","1.1.5.1","1643420","","","","0"
"2018","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","124320","","","","0"
"2019","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","128370","","","","0"
"2020","Canada","2016A000011124","Couple families","45 to 54 years","Median total income","Dollars","81","units","0","v21253345","1.1.5.23","135820","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","Total all ages","All income groups","Number","223","units","0","v21246934","1.2.1.1","1485700","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","Total all ages","All income groups","Number","223","units","0","v21246934","1.2.1.1","1499890","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","Total all ages","All income groups","Number","223","units","0","v21246934","1.2.1.1","1502840","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","48750","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","50800","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","Total all ages","Median total income","Dollars","81","units","0","v21246954","1.2.1.23","57060","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","25 to 34 years","All income groups","Number","223","units","0","v21246971","1.2.3.1","242640","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","25 to 34 years","All income groups","Number","223","units","0","v21246971","1.2.3.1","240800","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","25 to 34 years","All income groups","Number","223","units","0","v21246971","1.2.3.1","236580","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21246986","1.2.3.23","34060","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21246986","1.2.3.23","35560","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","25 to 34 years","Median total income","Dollars","81","units","0","v21246986","1.2.3.23","42610","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","45 to 54 years","All income groups","Number","223","units","0","v21253452","1.2.5.1","380140","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","45 to 54 years","All income groups","Number","223","units","0","v21253452","1.2.5.1","381660","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","45 to 54 years","All income groups","Number","223","units","0","v21253452","1.2.5.1","380770","","","","0"
"2018","Canada","2016A000011124","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21253467","1.2.5.23","57110","","","","0"
"2019","Canada","2016A000011124","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21253467","1.2.5.23","58940","","","","0"
"2020","Canada","2016A000011124","Lone-parent families","45 to 54 years","Median total income","Dollars","81","units","0","v21253467","1.2.5.23","65170","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","Total all ages","All income groups","Number","223","units","0","v21246987","1.3.1.1","6535160","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","Total all ages","All income groups","Number","223","units","0","v21246987","1.3.1.1","6715180","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","Total all ages","All income groups","Number","223","units","0","v21246987","1.3.1.1","6746790","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247007","1.3.1.23","30520","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247007","1.3.1.23","31150","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","Total all ages","Median total income","Dollars","81","units","0","v21247007","1.3.1.23","34650","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","25 to 34 years","All income groups","Number","223","units","0","v21247024","1.3.3.1","1051840","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","25 to 34 years","All income groups","Number","223","units","0","v21247024","1.3.3.1","1114640","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","25 to 34 years","All income groups","Number","223","units","0","v21247024","1.3.3.1","1120510","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","25 to 34 years","Median total income","Dollars","81","units","0","v21247039","1.3.3.23","38000","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","25 to 34 years","Median total income","Dollars","81","units","0","v21247039","1.3.3.23","38500","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","25 to 34 years","Median total income","Dollars","81","units","0","v21247039","1.3.3.23","41710","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","45 to 54 years","All income groups","Number","223","units","0","v21253564","1.3.5.1","760080","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","45 to 54 years","All income groups","Number","223","units","0","v21253564","1.3.5.1","735370","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","45 to 54 years","All income groups","Number","223","units","0","v21253564","1.3.5.1","714130","","","","0"
"2018","Canada","2016A000011124","Persons not in census families","45 to 54 years","Median total income","Dollars","81","units","0","v21253579","1.3.5.23","41080","","","","0"
"2019","Canada","2016A000011124","Persons not in census families","45 to 54 years","Median total income","Dollars","81","units","0","v21253579","1.3.5.23","42140","","","","0"
"2020","Canada","2016A000011124","Persons not in census families","45 to 54 years","Median total income","Dollars","81","units","0","v21253579","1.3.5.23","45570","","","","0"


